###############################################
#  xbin     ybin     Vrms      eVrms    flux
###############################################
 -32.500   36.200     53.9      2.9        590
  18.556   43.222     58.7      2.9        570
 -39.778   30.556     57.8      2.9        593
 -25.600   43.300     56.4      2.9        503
 -46.077   24.385     61.8      2.9        580
 -19.267   46.467     60.8      2.8        481
  12.333   46.600     55.8      2.8        519
  -4.385   47.154     59.4      2.8        530
  45.455   19.182     63.0      2.9        684
  35.091   37.545     53.2      2.9        521
  25.762   45.190     55.9      2.9        460
  39.556  -34.444     56.4      2.9        518
  46.130  -25.783     58.9      2.9        556
  44.478   35.435     58.2      2.9        430
  46.200   27.800     61.6      2.9        522
 -33.545   45.273     50.8      2.9        392
 -44.538   37.538     55.1      2.9        399
  35.000   46.000     56.0      2.9        368
  33.000  -47.000     60.3      2.9        369
  43.714  -45.286     60.6      2.9        310
  45.000   45.000     57.7      2.9        303
  46.625  -36.875     59.1      2.9        384
 -38.158  -45.211     58.4      2.9        354
 -46.222  -37.444     56.6      2.9        381
 -44.000   46.000     59.0      2.9        300
 -46.000  -46.000     57.0      2.9        286
