Opt. Const. of B-Spline vs. nm
Wavelength(nm)	n	k
493.533142	1.674084	0.010944	
495.122314	1.673801	0.010418	
496.711487	1.673426	0.009905	
498.300598	1.672905	0.009428	
499.889709	1.672231	0.009002	
501.478760	1.671452	0.008637	
503.067780	1.670619	0.008341	
504.656799	1.669782	0.008124	
506.245758	1.668988	0.007994	
507.834717	1.668283	0.007959	
509.423645	1.667703	0.008021	
511.012512	1.667238	0.008151	
512.601379	1.666869	0.008314	
514.190186	1.666579	0.008477	
515.778931	1.666347	0.008606	
517.367737	1.666158	0.008670	
518.956421	1.665994	0.008640	
520.545105	1.665840	0.008503	
522.133789	1.665689	0.008283	
523.722412	1.665533	0.008007	
525.310974	1.665364	0.007701	
526.899536	1.665174	0.007388	
528.488037	1.664957	0.007092	
530.076538	1.664706	0.006836	
531.664978	1.664418	0.006630	
533.253357	1.664100	0.006465	
534.841736	1.663757	0.006328	
536.430054	1.663395	0.006207	
538.018372	1.663020	0.006090	
539.606567	1.662639	0.005967	
541.194824	1.662256	0.005827	
542.782959	1.661875	0.005661	
544.371094	1.661498	0.005476	
545.959167	1.661124	0.005278	
547.547241	1.660753	0.005074	
549.135254	1.660383	0.004871	
550.723206	1.660014	0.004678	
552.311157	1.659647	0.004499	
553.898987	1.659280	0.004342	
555.486816	1.658913	0.004207	
557.074585	1.658540	0.004087	
558.662354	1.658161	0.003976	
560.250061	1.657770	0.003865	
561.837708	1.657365	0.003749	
563.425293	1.656943	0.003620	
565.012817	1.656501	0.003473	
566.600403	1.656036	0.003300	
568.187866	1.655550	0.003105	
569.775269	1.655048	0.002897	
571.362610	1.654537	0.002688	
572.949951	1.654023	0.002491	
574.537231	1.653513	0.002316	
576.124390	1.653011	0.002174	
577.711548	1.652525	0.002075	
579.298706	1.652059	0.002030	
580.885803	1.651617	0.002043	
582.472778	1.651198	0.002102	
584.059753	1.650798	0.002191	
585.646667	1.650413	0.002293	
587.233521	1.650042	0.002392	
588.820313	1.649681	0.002475	
590.407104	1.649328	0.002526	
591.993774	1.648979	0.002531	
593.580383	1.648633	0.002477	
595.166992	1.648287	0.002359	
596.753540	1.647943	0.002189	
598.339966	1.647603	0.001979	
599.926392	1.647267	0.001742	
601.512756	1.646939	0.001490	
603.098999	1.646618	0.001234	
604.685303	1.646306	0.000987	
606.271484	1.646005	0.000759	
607.857544	1.645715	0.000561	
609.443665	1.645437	0.000400	
611.029663	1.645170	0.000274	
612.615601	1.644912	0.000178	
614.201477	1.644660	0.000108	
615.787292	1.644412	0.000059	
617.373047	1.644167	0.000028	
618.958740	1.643923	0.000010	
620.544373	1.643678	0.000002	
622.130005	1.643430	0.000000	
623.715454	1.643179	0.000000	
625.300903	1.642923	0.000000	
626.886292	1.642664	0.000000	
628.471558	1.642405	0.000000	
630.056824	1.642148	0.000000	
631.642029	1.641893	0.000000	
633.227173	1.641643	0.000000	
634.812195	1.641400	0.000000	
636.397156	1.641165	0.000000	
637.982056	1.640939	0.000000	
639.566956	1.640725	0.000000	
641.151733	1.640523	0.000000	
642.736450	1.640332	0.000000	
644.321045	1.640152	0.000000	
645.905640	1.639984	0.000000	
647.490112	1.639825	0.000000	
649.074524	1.639676	0.000000	
650.658875	1.639537	0.000000	
652.243164	1.639407	0.000000	
653.827393	1.639285	0.000000	
655.411499	1.639171	0.000000	
656.995544	1.639065	0.000000	
658.579529	1.638966	0.000000	
660.163452	1.638870	0.000000	
661.747314	1.638776	0.000000	
663.331116	1.638683	0.000000	
664.914734	1.638587	0.000000	
666.498413	1.638487	0.000000	
668.081909	1.638381	0.000000	
669.665405	1.638267	0.000000	
671.248779	1.638143	0.000000	
672.832092	1.638008	0.000000	
674.415283	1.637860	0.000000	
675.998413	1.637699	0.000000	
677.581482	1.637525	0.000000	
679.164490	1.637342	0.000000	
680.747437	1.637151	0.000000	
682.330200	1.636954	0.000000	
683.912964	1.636754	0.000000	
685.495667	1.636551	0.000000	
687.078247	1.636348	0.000000	
688.660767	1.636147	0.000000	
690.243103	1.635948	0.000000	
691.825500	1.635755	0.000000	
693.407715	1.635568	0.000000	
694.989868	1.635388	0.000000	
696.571960	1.635216	0.000000	
698.153931	1.635053	0.000000	
699.735901	1.634899	0.000000	
701.317749	1.634754	0.000000	
702.899475	1.634619	0.000000	
704.481079	1.634494	0.000000	
706.062622	1.634380	0.000000	
707.644165	1.634277	0.000000	
709.225525	1.634185	0.000000	
710.806824	1.634105	0.000000	
712.388062	1.634037	0.000000	
713.969116	1.633981	0.000000	
715.550171	1.633936	0.000000	
717.131104	1.633897	0.000000	
718.711975	1.633860	0.000000	
720.292725	1.633824	0.000000	
721.873413	1.633784	0.000000	
723.453979	1.633737	0.000000	
725.034424	1.633681	0.000000	
726.614807	1.633612	0.000000	
728.195129	1.633527	0.000000	
729.775269	1.633424	0.000000	
731.355408	1.633299	0.000000	
732.935425	1.633150	0.000000	
734.515320	1.632975	0.000000	
736.095154	1.632773	0.000000	
737.674866	1.632550	0.000000	
739.254517	1.632311	0.000000	
740.834045	1.632059	0.000000	
742.413452	1.631801	0.000000	
743.992798	1.631542	0.000000	
745.572021	1.631284	0.000000	
747.151123	1.631034	0.000000	
748.730164	1.630796	0.000000	
750.309082	1.630573	0.000000	
751.887939	1.630370	0.000000	
753.466675	1.630191	0.000000	
755.045288	1.630040	0.000000	
756.623840	1.629921	0.000000	
758.202271	1.629835	0.000000	
759.780579	1.629778	0.000000	
761.358765	1.629743	0.000000	
762.936890	1.629725	0.000000	
764.514893	1.629718	0.000000	
766.092834	1.629716	0.000000	
767.670593	1.629714	0.000000	
769.248291	1.629706	0.000000	
770.825867	1.629688	0.000000	
772.403381	1.629653	0.000000	
773.980774	1.629598	0.000000	
775.557983	1.629518	0.000000	
777.135193	1.629408	0.000000	
778.712280	1.629262	0.000000	
780.289185	1.629078	0.000000	
781.866028	1.628851	0.000000	
783.442749	1.628587	0.000000	
785.019409	1.628293	0.000000	
786.595886	1.627975	0.000000	
788.172241	1.627640	0.000000	
789.748535	1.627293	0.000000	
791.324707	1.626941	0.000000	
792.900757	1.626590	0.000000	
794.476746	1.626246	0.000000	
796.052612	1.625914	0.000000	
797.628296	1.625600	0.000000	
799.203918	1.625310	0.000000	
800.779419	1.625049	0.000000	
802.354797	1.624821	0.000000	
803.930054	1.624633	0.000000	
805.505188	1.624489	0.000000	
807.080200	1.624392	0.000000	
808.655151	1.624340	0.000000	
810.229919	1.624327	0.000000	
811.804565	1.624345	0.000000	
813.379150	1.624390	0.000000	
814.953613	1.624456	0.000000	
816.527954	1.624536	0.000000	
818.102173	1.624626	0.000000	
819.676147	1.624720	0.000000	
821.250183	1.624812	0.000000	
822.824036	1.624899	0.000000	
824.397766	1.624973	0.000000	
825.971375	1.625032	0.000000	
827.544800	1.625069	0.000000	
829.118164	1.625081	0.000000	
830.691406	1.625062	0.000000	
832.264526	1.625009	0.000000	
833.837524	1.624916	0.000000	
835.410339	1.624786	0.000000	
836.983093	1.624621	0.000000	
838.555786	1.624428	0.000000	
840.128235	1.624209	0.000000	
841.700562	1.623970	0.000000	
843.272827	1.623714	0.000000	
844.844910	1.623445	0.000000	
846.416870	1.623168	0.000000	
847.988770	1.622886	0.000000	
849.560425	1.622604	0.000000	
851.132019	1.622324	0.000000	
852.703491	1.622051	0.000000	
854.274902	1.621788	0.000000	
855.846069	1.621538	0.000000	
857.417175	1.621305	0.000000	
858.988098	1.621093	0.000000	
860.558899	1.620904	0.000000	
862.129578	1.620741	0.000000	
863.700073	1.620608	0.000000	
865.270630	1.620502	0.000000	
866.840820	1.620421	0.000000	
868.411011	1.620364	0.000000	
869.981079	1.620328	0.000000	
871.550903	1.620313	0.000000	
873.120605	1.620316	0.000000	
874.690247	1.620336	0.000000	
876.259766	1.620371	0.000000	
877.829102	1.620419	0.000000	
879.398254	1.620479	0.000000	
880.967407	1.620549	0.000000	
882.536255	1.620628	0.000000	
884.105103	1.620714	0.000000	
885.673706	1.620806	0.000000	
887.242188	1.620903	0.000000	
888.810669	1.621002	0.000000	
890.378784	1.621103	0.000000	
891.946960	1.621204	0.000000	
893.514954	1.621303	0.000000	
895.082703	1.621401	0.000000	
896.650391	1.621496	0.000000	
898.217896	1.621587	0.000000	
899.785278	1.621674	0.000000	
901.352539	1.621757	0.000000	
902.919617	1.621834	0.000000	
904.486633	1.621904	0.000000	
906.053406	1.621969	0.000000	
907.620117	1.622026	0.000000	
909.186646	1.622075	0.000000	
910.753052	1.622116	0.000000	
912.319214	1.622149	0.000000	
913.885376	1.622171	0.000000	
915.451294	1.622185	0.000000	
917.017090	1.622187	0.000000	
918.582703	1.622179	0.000000	
920.148132	1.622160	0.000000	
921.713562	1.622128	0.000000	
923.278687	1.622085	0.000000	
924.843750	1.622029	0.000000	
926.408691	1.621959	0.000000	
927.973450	1.621877	0.000000	
929.538086	1.621782	0.000000	
931.102417	1.621677	0.000000	
932.666809	1.621562	0.000000	
934.230957	1.621441	0.000000	
935.794922	1.621313	0.000000	
937.358765	1.621181	0.000000	
938.922485	1.621046	0.000000	
940.485962	1.620909	0.000000	
942.049316	1.620772	0.000000	
943.612610	1.620636	0.000000	
945.175659	1.620503	0.000000	
946.738586	1.620373	0.000000	
948.301392	1.620249	0.000000	
949.863953	1.620131	0.000000	
951.426392	1.620020	0.000000	
952.988647	1.619918	0.000000	
954.550781	1.619825	0.000000	
956.112793	1.619744	0.000000	
957.674622	1.619675	0.000000	
959.236206	1.619619	0.000000	
960.797729	1.619578	0.000000	
962.359070	1.619552	0.000000	
963.920227	1.619542	0.000000	
965.481262	1.619547	0.000000	
967.042114	1.619567	0.000000	
968.602722	1.619599	0.000000	
970.163269	1.619642	0.000000	
971.723633	1.619695	0.000000	
973.283875	1.619757	0.000000	
974.843933	1.619827	0.000000	
976.403809	1.619902	0.000000	
977.963501	1.619983	0.000000	
979.523071	1.620067	0.000000	
981.082397	1.620153	0.000000	
982.641724	1.620241	0.000000	
984.200684	1.620329	0.000000	
985.759583	1.620417	0.000000	
987.318237	1.620502	0.000000	
988.876831	1.620584	0.000000	
990.435242	1.620662	0.000000	
991.993469	1.620735	0.000000	
993.551453	1.620802	0.000000	
995.109375	1.620862	0.000000	
996.667114	1.620914	0.000000	
998.224609	1.620956	0.000000	
999.782043	1.620989	0.000000	
1011.432007	1.620896	0.000000	
1014.815918	1.620777	0.000000	
1018.200195	1.620629	0.000000	
1021.584961	1.620459	0.000000	
1024.970215	1.620272	0.000000	
1028.355957	1.620074	0.000000	
1031.742065	1.619871	0.000000	
1035.128662	1.619668	0.000000	
1038.515869	1.619471	0.000000	
1041.903442	1.619285	0.000000	
1045.291382	1.619114	0.000000	
1048.679932	1.618960	0.000000	
1052.068726	1.618822	0.000000	
1055.458252	1.618698	0.000000	
1058.848022	1.618586	0.000000	
1062.238403	1.618485	0.000000	
1065.629150	1.618392	0.000000	
1069.020264	1.618308	0.000000	
1072.411987	1.618229	0.000000	
1075.804199	1.618155	0.000000	
1079.196777	1.618085	0.000000	
1082.589844	1.618016	0.000000	
1085.983398	1.617948	0.000000	
1089.377441	1.617880	0.000000	
1092.771851	1.617810	0.000000	
1096.166748	1.617738	0.000000	
1099.562134	1.617665	0.000000	
1102.958008	1.617590	0.000000	
1106.354248	1.617514	0.000000	
1109.750977	1.617436	0.000000	
1113.148193	1.617357	0.000000	
1116.545898	1.617277	0.000000	
1119.944092	1.617196	0.000000	
1123.342529	1.617113	0.000000	
1126.741699	1.617030	0.000000	
1130.141235	1.616946	0.000000	
1133.541138	1.616861	0.000000	
1136.941650	1.616775	0.000000	
1140.342529	1.616689	0.000000	
1143.743896	1.616602	0.000000	
1147.145630	1.616514	0.000000	
1150.547852	1.616426	0.000000	
1153.950562	1.616338	0.000000	
1157.353760	1.616249	0.000000	
1160.757446	1.616159	0.000000	
1164.161499	1.616070	0.000000	
1167.566162	1.615980	0.000000	
1170.971191	1.615890	0.000000	
1174.376709	1.615799	0.000000	
1177.782593	1.615709	0.000000	
1181.188965	1.615618	0.000000	
1184.595947	1.615527	0.000000	
1188.003174	1.615436	0.000000	
1191.410889	1.615345	0.000000	
1194.819214	1.615254	0.000000	
1198.227905	1.615163	0.000000	
1201.637085	1.615072	0.000000	
1205.046631	1.614982	0.000000	
1208.456787	1.614892	0.000000	
1211.867310	1.614802	0.000000	
1215.278320	1.614714	0.000000	
1218.689697	1.614626	0.000000	
1222.101807	1.614539	0.000000	
1225.514038	1.614454	0.000000	
1228.927002	1.614369	0.000000	
1232.340210	1.614287	0.000000	
1235.754028	1.614205	0.000000	
1239.168213	1.614125	0.000000	
1242.582886	1.614047	0.000000	
1245.998047	1.613971	0.000000	
1249.413574	1.613897	0.000000	
1252.829712	1.613825	0.000000	
1256.246216	1.613755	0.000000	
1259.663208	1.613687	0.000000	
1263.080566	1.613621	0.000000	
1266.498413	1.613557	0.000000	
1269.916748	1.613496	0.000000	
1273.335693	1.613436	0.000000	
1276.754883	1.613378	0.000000	
1280.174561	1.613321	0.000000	
1283.594849	1.613266	0.000000	
1287.015381	1.613213	0.000000	
1290.436523	1.613161	0.000000	
1293.858154	1.613110	0.000000	
1297.280151	1.613061	0.000000	
1300.702637	1.613013	0.000000	
1304.125610	1.612966	0.000000	
1307.548950	1.612921	0.000000	
1310.972778	1.612876	0.000000	
1314.397095	1.612832	0.000000	
1317.821899	1.612790	0.000000	
1321.247192	1.612748	0.000000	
1324.672852	1.612706	0.000000	
1328.098877	1.612666	0.000000	
1331.525635	1.612626	0.000000	
1334.952637	1.612586	0.000000	
1338.380127	1.612547	0.000000	
1341.808228	1.612507	0.000000	
1345.236572	1.612467	0.000000	
1348.665527	1.612426	0.000000	
1352.094849	1.612385	0.000000	
1355.524658	1.612343	0.000000	
1358.954956	1.612300	0.000000	
1362.385742	1.612256	0.000000	
1365.816895	1.612210	0.000000	
1369.248535	1.612163	0.000000	
1372.680664	1.612114	0.000000	
1376.113281	1.612064	0.000000	
1379.546265	1.612012	0.000000	
1382.979736	1.611958	0.000000	
1386.413696	1.611901	0.000000	
1389.848145	1.611843	0.000000	
1393.282959	1.611782	0.000000	
1396.718384	1.611718	0.000000	
1400.154053	1.611652	0.000000	
1403.590332	1.611584	0.000000	
1407.027100	1.611513	0.000000	
1410.464111	1.611440	0.000000	
1413.901855	1.611364	0.000000	
1417.339844	1.611287	0.000000	
1420.778442	1.611209	0.000000	
1424.217407	1.611128	0.000000	
1427.656860	1.611046	0.000000	
1431.096802	1.610963	0.000000	
1434.537109	1.610879	0.000000	
1437.977905	1.610793	0.000000	
1441.419189	1.610707	0.000000	
1444.860962	1.610620	0.000000	
1448.303101	1.610532	0.000000	
1451.745850	1.610444	0.000000	
1455.188965	1.610355	0.000000	
1458.632568	1.610266	0.000000	
1462.076538	1.610177	0.000000	
1465.520996	1.610088	0.000000	
1468.966064	1.609998	0.000000	
1472.411377	1.609909	0.000000	
1475.857178	1.609820	0.000000	
1479.303589	1.609731	0.000000	
1482.750366	1.609643	0.000000	
1486.197510	1.609555	0.000000	
1489.645264	1.609468	0.000000	
1493.093506	1.609382	0.000000	
1496.542114	1.609297	0.000000	
1499.991089	1.609212	0.000000	
1503.440674	1.609129	0.000000	
1506.890625	1.609048	0.000000	
1510.341064	1.608968	0.000000	
1513.791992	1.608889	0.000000	
1517.243408	1.608812	0.000000	
1520.695068	1.608737	0.000000	
1524.147461	1.608665	0.000000	
1527.600220	1.608594	0.000000	
1531.053345	1.608525	0.000000	
1534.507080	1.608459	0.000000	
1537.961182	1.608395	0.000000	
1541.415649	1.608334	0.000000	
1544.870728	1.608275	0.000000	
1548.326172	1.608219	0.000000	
1551.782104	1.608166	0.000000	
1555.238525	1.608116	0.000000	
1558.695313	1.608068	0.000000	
1562.152588	1.608024	0.000000	
1565.610474	1.607983	0.000000	
1569.068604	1.607945	0.000000	
1572.527344	1.607910	0.000000	
1575.986450	1.607879	0.000000	
1579.446045	1.607851	0.000000	
1582.906128	1.607827	0.000000	
1586.366577	1.607805	0.000000	
1589.827637	1.607787	0.000000	
1593.289063	1.607771	0.000000	
1596.750854	1.607758	0.000000	
1600.213257	1.607748	0.000000	
1603.676025	1.607740	0.000000	
1607.139282	1.607735	0.000000	
1610.603027	1.607731	0.000000	
1614.067139	1.607730	0.000000	
1617.531860	1.607731	0.000000	
1620.996826	1.607733	0.000000	
1624.462402	1.607737	0.000000	
1627.928467	1.607742	0.000000	
1631.394897	1.607749	0.000000	
1634.861816	1.607758	0.000000	
1638.329224	1.607767	0.000000	
1641.797119	1.607778	0.000000	
1645.265259	1.607790	0.000000	
1648.734009	1.607802	0.000000	
1652.203369	1.607815	0.000000	
1655.672852	1.607829	0.000000	
1659.142944	1.607844	0.000000	
1662.613647	1.607859	0.000000	
1666.084595	1.607875	0.000000	
1669.556030	1.607891	0.000000	
1673.028076	1.607907	0.000000	
1676.500366	1.607924	0.000000	
1679.973267	1.607940	0.000000	
1683.446655	1.607957	0.000000	
			
