Configuration item,Key ID,Type,Scale,Unit,Default value,Description
CFG-I2COUTPROT-NMEA,0x10720002,L,-,-,1,Flag to indicate if NMEA should be an output protocol on I2C
CFG-I2COUTPROT-RTCM3X,0x10720004,L,-,-,1,Flag to indicate if RTCM3X should be an output protocol on I2C
CFG-INFMSG-UBX_I2C,0x20920001,X1,-,-,0x00,Information message enable flags for the UBX protocol on the I2C interface 
CFG-INFMSG-UBX_UART1,0x20920002,X1,-,-,0x00,Information message enable flags for the UBX protocol on the UART1 interface
CFG-INFMSG-UBX_UART2,0x20920003,X1,-,-,0x00,Information message enable flags for the UBX protocol on the UART2 interface 
CFG-INFMSG-UBX_USB,0x20920004,X1,-,-,0x00,Information message enable flags for the UBX protocol on the USB interface
CFG-INFMSG-UBX_SPI,0x20920005,X1,-,-,0x00,Information message enable flags for the UBX protocol on the SPI interface
CFG-INFMSG-NMEA_I2C,0x20920006,X1,-,-,0x07,Information message enable flags for the NMEA protocol on the I2C interface
CFG-INFMSG-NMEA_UART1,0x20920007,X1,-,-,0x07,Information message enable flags for the NMEA protocol on the UART1 interface
CFG-INFMSG-NMEA_UART2,0x20920008,X1,-,-,0x07,Information message enable flags for the NMEA protocol on the UART2 interface
CFG-INFMSG-NMEA_USB,0x20920009,X1,-,-,0x07,Information message enable flags for the NMEA protocol on the USB interface
CFG-INFMSG-NMEA_SPI,0x2092000a,X1,-,-,0x07,Information message enable flags for the NMEA protocol on the SPI interface
CFG-ITFM-BBTHRESHOLD,0x20410001,U1,-,-,3,Broadband jamming detection threshold
CFG-ITFM-CWTHRESHOLD,0x20410002,U1,-,-,15,CW jamming detection threshold
CFG-ITFM-ENABLE,0x1041000d,L,-,-,0,Enable interference detection
CFG-ITFM-ANTSETTING,0x20410010,E1,-,-,0,Antenna setting See Constants for CFG-ITFM-ANTSETTING below for a list of possible constants for this item.
CFG-ITFM-ENABLE_AUX,0x10410013,L,-,-,0,"Set to true to scan auxiliary bands Supported on u-blox 8 / u-blox M8 only, otherwise ignored."
CFG-LOGFILTER-RECORD_ENA,0x10de0002,L,-,-,0,Recording enabled Set to true when recording enabled.
CFG-LOGFILTER-ONCE_PER_WAKE_UP_ENA,0x10de0003,L,-,-,0,Once per wakeup Set to true recording only one single position per PSM on/off mode wakeup period is enabled. Note. . the value set here does not take effect unless CFGLOGFILTERAPPLY_ALL_FILTERS is enabled.
CFG-LOGFILTER-APPLY_ALL_FILTERS,0x10de0004,L,-,-,0,"Apply all filter settings Set to true when all filter settings are to be applied, not just recording enabling/disabling."
CFG-LOGFILTER-MIN_INTERVAL,0x30de0005,U2,-,s,0,"Minimum time interval between logged positions Minimum time interval between logged positions (0 = not set). This is only applied in combination with the speed and/or position thresholds. If both MIN_INTERVAL and TIME_THRS are set, MIN_ INTERVAL must be less than or equal to TIME_THRS. Note. . the value set here does not take effect unless CFG-LOGFILTER-APPLY_ALL_FILTERS is enabled."
CFG-LOGFILTER-TIME_THRS,0x30de0006,U2,-,s,0,Time threshold If the time difference is greater than the threshold then the position is logged (0 = not set). Note. . the value set here does not take effect unless CFG-LOGFILTER-APPLY_ALL_FILTERS is enabled.
CFG-LOGFILTER-SPEED_THRS,0x30de0007,U2,-,m/s,0,Speed threshold If the current speed is greater than the threshold then the position is logged (0 = not set). MIN_ INTERVAL also applies. Note. . value set here does not take effect unless CFG-LOGFILTER-APPLY_ALL_FILTERS is enabled.
CFG-LOGFILTER-POSITION_THRS,0x40de0008,U4,-,m,0,Position threshold
CFG-MOT-GNSSSPEED_THRS,0x20250038,U1,0.01,m/s,0,GNSS speed threshold below which platform is considered as stationary (a.k.a. static hold threshold) Set this paramter to 0 for a firmware default value or bahaviour.
CFG-MOT-GNSSDIST_THRS,0x3025003b,U2,-,-,0,Distance above which GNSS- based stationary motion is exit (a. k.a. static hold distance threshold) Set this paramter to 0 for a firmware default value or bahaviour.
CFG-MSGOUT-NMEA_ID_DTM_I2C,0x209100a6,U1,-,-,0,Output rate of the NMEAGX DTM message on port I2C
CFG-MSGOUT-NMEA_ID_DTM_SPI,0x209100aa,U1,-,-,0,Output rate of the NMEAGX DTM message on port SPI
CFG-MSGOUT-NMEA_ID_DTM_UART1,0x209100a7,U1,-,-,0,Output rate of the NMEAGX DTM message on port UART1
CFG-MSGOUT-NMEA_ID_DTM_UART2,0x209100a8,U1,-,-,0,Output rate of the NMEAGX DTM message on port UART2
CFG-MSGOUT-NMEA_ID_DTM_USB,0x209100a9,U1,-,-,0,Output rate of the NMEAGX DTM message on port USB
CFG-MSGOUT-NMEA_ID_GBS_I2C,0x209100dd,U1,-,-,0,Output rate of the NMEAGX GBS message on port I2C
CFG-MSGOUT-NMEA_ID_GBS_SPI,0x209100e1,U1,-,-,0,Output rate of the NMEAGX GBS message on port SPI
CFG-MSGOUT-NMEA_ID_GBS_UART1,0x209100de,U1,-,-,0,Output rate of the NMEAGX GBS message on port UART1
CFG-MSGOUT-NMEA_ID_GBS_UART2,0x209100df,U1,-,-,0,Output rate of the NMEAGX GBS message on port UART2
CFG-MSGOUT-NMEA_ID_GBS_USB,0x209100e0,U1,-,-,0,Output rate of the NMEAGX GBS message on port USB
CFG-MSGOUT-NMEA_ID_GGA_I2C,0x209100ba,U1,-,-,1,Output rate of the NMEAGX GGA message on port I2C
CFG-MSGOUT-NMEA_ID_GGA_SPI,0x209100be,U1,-,-,1,Output rate of the NMEAGX GGA message on port SPI
CFG-MSGOUT-NMEA_ID_GGA_UART1,0x209100bb,U1,-,-,1,Output rate of the NMEAGX GGA message on port UART1
CFG-MSGOUT-NMEA_ID_GGA_UART2,0x209100bc,U1,-,-,1,Output rate of the NMEAGX GGA message on port UART2
CFG-MSGOUT-NMEA_ID_GGA_USB,0x209100bd,U1,-,-,1,Output rate of the NMEAGX GGA message on port USB
CFG-MSGOUT-NMEA_ID_GLL_I2C,0x209100c9,U1,-,-,1,Output rate of the NMEAGXGLL message on port I2C
CFG-MSGOUT-NMEA_ID_GLL_SPI,0x209100cd,U1,-,-,1,Output rate of the NMEAGXGLL message on port SPI
CFG-MSGOUT-NMEA_ID_GLL_UART1,0x209100ca,U1,-,-,1,Output rate of the NMEAGXGLL message on port UART1
CFG-MSGOUT-NMEA_ID_GLL_UART2,0x209100cb,U1,-,-,1,Output rate of the NMEAGXGLL message on port UART2
CFG-MSGOUT-NMEA_ID_GLL_USB,0x209100cc,U1,-,-,1,Output rate of the NMEAGXGLL message on port USB
CFG-MSGOUT-NMEA_ID_GNS_I2C,0x209100b5,U1,-,-,0,Output rate of the NMEAGX GNS message on port I2C
CFG-MSGOUT-NMEA_ID_GNS_SPI,0x209100b9,U1,-,-,0,Output rate of the NMEAGX GNS message on port SPI
CFG-MSGOUT-NMEA_ID_GNS_UART1,0x209100b6,U1,-,-,0,Output rate of the NMEAGX GNS message on port UART1
CFG-MSGOUT-NMEA_ID_GNS_UART2,0x209100b7,U1,-,-,0,Output rate of the NMEAGX GNS message on port UART2
CFG-MSGOUT-NMEA_ID_GNS_USB,0x209100b8,U1,-,-,0,Output rate of the NMEAGX GNS message on port USB
CFG-MSGOUT-NMEA_ID_GRS_I2C,0x209100ce,U1,-,-,0,Output rate of the NMEAGX GRS message on port I2C
CFG-MSGOUT-NMEA_ID_GRS_SPI,0x209100d2,U1,-,-,0,Output rate of the NMEAGX GRS message on port SPI
CFG-MSGOUT-NMEA_ID_GRS_UART1,0x209100cf,U1,-,-,0,Output rate of the NMEAGX GRS message on port UART1
CFG-MSGOUT-NMEA_ID_GRS_UART2,0x209100d0,U1,-,-,0,Output rate of the NMEAGX GRS message on port UART2
CFG-MSGOUT-NMEA_ID_GRS_USB,0x209100d1,U1,-,-,0,Output rate of the NMEAGX GRS message on port USB
CFG-MSGOUT-NMEA_ID_GSA_I2C,0x209100bf,U1,-,-,1,Output rate of the NMEAGX GSA message on port I2C
CFG-MSGOUT-NMEA_ID_GSA_SPI,0x209100c3,U1,-,-,1,Output rate of the NMEAGX GSA message on port SPI
CFG-MSGOUT-NMEA_ID_GSA_UART1,0x209100c0,U1,-,-,1,Output rate of the NMEAGX GSA message on port UART1
CFG-MSGOUT-NMEA_ID_GSA_UART2,0x209100c1,U1,-,-,1,Output rate of the NMEAGX GSA message on port UART2
CFG-MSGOUT-NMEA_ID_GSA_USB,0x209100c2,U1,-,-,1,Output rate of the NMEAGX GSA message on port USB
CFG-MSGOUT-NMEA_ID_GST_I2C,0x209100d3,U1,-,-,0,Output rate of the NMEAGX GST message on port I2C
CFG-MSGOUT-NMEA_ID_GST_SPI,0x209100d7,U1,-,-,0,Output rate of the NMEAGX GST message on port SPI
CFG-MSGOUT-NMEA_ID_GST_UART1,0x209100d4,U1,-,-,0,Output rate of the NMEAGX GST message on port UART1
CFG-MSGOUT-NMEA_ID_GST_UART2,0x209100d5,U1,-,-,0,Output rate of the NMEAGX GST message on port UART2
CFG-MSGOUT-NMEA_ID_GST_USB,0x209100d6,U1,-,-,0,Output rate of the NMEAGX GST message on port USB
CFG-MSGOUT-NMEA_ID_GSV_I2C,0x209100c4,U1,-,-,1,Output rate of the NMEAGX GSV message on port I2C
CFG-MSGOUT-NMEA_ID_GSV_SPI,0x209100c8,U1,-,-,1,Output rate of the NMEAGX GSV message on port SPI
CFG-MSGOUT-NMEA_ID_GSV_UART1,0x209100c5,U1,-,-,1,Output rate of the NMEAGX GSV message on port UART1
CFG-MSGOUT-NMEA_ID_GSV_UART2,0x209100c6,U1,-,-,1,Output rate of the NMEAGX GSV message on port UART2
CFG-MSGOUT-NMEA_ID_GSV_USB,0x209100c7,U1,-,-,1,Output rate of the NMEAGX GSV message on port USB
CFG-MSGOUT-NMEA_ID_RMC_I2C,0x209100ab,U1,-,-,1,Output rate of the NMEAGX RMC message on port I2C
CFG-MSGOUT-NMEA_ID_RMC_SPI,0x209100af,U1,-,-,1,Output rate of the NMEAGX RMC message on port SPI
CFG-MSGOUT-NMEA_ID_RMC_UART1,0x209100ac,U1,-,-,1,Output rate of the NMEAGX RMC message on port UART1
CFG-MSGOUT-NMEA_ID_RMC_UART2,0x209100ad,U1,-,-,1,Output rate of the NMEAGX RMC message on port UART2
CFG-MSGOUT-NMEA_ID_RMC_USB,0x209100ae,U1,-,-,1,Output rate of the NMEAGX RMC message on port USB
CFG-MSGOUT-NMEA_ID_VLW_I2C,0x209100e7,U1,-,-,0,Output rate of the NMEAGX VLW message on port I2C
CFG-MSGOUT-NMEA_ID_VLW_SPI,0x209100eb,U1,-,-,0,Output rate of the NMEAGX VLW message on port SPI
CFG-MSGOUT-NMEA_ID_VLW_UART1,0x209100e8,U1,-,-,0,Output rate of the NMEAGX VLW message on port UART1
CFG-MSGOUT-NMEA_ID_VLW_UART2,0x209100e9,U1,-,-,0,Output rate of the NMEAGX VLW message on port UART2
CFG-MSGOUT-NMEA_ID_VLW_USB,0x209100ea,U1,-,-,0,Output rate of the NMEAGX VLW message on port USB
CFG-MSGOUT-NMEA_ID_VTG_I2C,0x209100b0,U1,-,-,1,Output rate of the NMEAGX VTG message on port I2C
CFG-MSGOUT-NMEA_ID_VTG_SPI,0x209100b4,U1,-,-,1,Output rate of the NMEAGX VTG message on port SPI
CFG-MSGOUT-NMEA_ID_VTG_UART1,0x209100b1,U1,-,-,1,Output rate of the NMEAGX VTG message on port UART1
CFG-MSGOUT-NMEA_ID_VTG_UART2,0x209100b2,U1,-,-,1,Output rate of the NMEAGX VTG message on port UART2
CFG-MSGOUT-NMEA_ID_VTG_USB,0x209100b3,U1,-,-,1,Output rate of the NMEAGX VTG message on port USB
CFG-MSGOUT-NMEA_ID_ZDA_I2C,0x209100d8,U1,-,-,0,Output rate of the NMEAGX ZDA message on port I2C
CFG-MSGOUT-NMEA_ID_ZDA_SPI,0x209100dc,U1,-,-,0,Output rate of the NMEAGX ZDA message on port SPI
CFG-MSGOUT-NMEA_ID_ZDA_UART1,0x209100d9,U1,-,-,0,Output rate of the NMEAGX ZDA message on port UART1
CFG-MSGOUT-NMEA_ID_ZDA_UART2,0x209100da,U1,-,-,0,Output rate of the NMEAGX ZDA message on port UART2
CFG-MSGOUT-NMEA_ID_ZDA_USB,0x209100db,U1,-,-,0,Output rate of the NMEAGX ZDA message on port USB
CFG-MSGOUT-PUBX_ID_POLYP_I2C,0x209100ec,U1,-,-,0,Output rate of the NMEAGX PUBX00 message on port I2C
CFG-MSGOUT-PUBX_ID_POLYP_SPI,0x209100f0,U1,-,-,0,Output rate of the NMEAGX PUBX00 message on port SPI
CFG-MSGOUT-PUBX_ID_POLYP_UART1,0x209100ed,U1,-,-,0,Output rate of the NMEAGX PUBX00 message on port UART1
CFG-MSGOUT-PUBX_ID_POLYP_UART2,0x209100ee,U1,-,-,0,Output rate of the NMEAGX PUBX00 message on port UART2
CFG-MSGOUT-PUBX_ID_POLYP_USB,0x209100ef,U1,-,-,0,Output rate of the NMEAGX PUBX00 message on port USB
CFG-MSGOUT-PUBX_ID_POLYS_I2C,0x209100f1,U1,-,-,0,Output rate of the NMEAGX PUBX03 message on port I2C
CFG-MSGOUT-PUBX_ID_POLYS_SPI,0x209100f5,U1,-,-,0,Output rate of the NMEAGX PUBX03 message on port SPI
CFG-MSGOUT-PUBX_ID_POLYS_UART1,0x209100f2,U1,-,-,0,Output rate of the NMEAGX PUBX03 message on port UART1
CFG-MSGOUT-PUBX_ID_POLYS_UART2,0x209100f3,U1,-,-,0,Output rate of the NMEAGX PUBX03 message on port UART2
CFG-MSGOUT-PUBX_ID_POLYS_USB,0x209100f4,U1,-,-,0,Output rate of the NMEAGX PUBX03 message on port USB
CFG-MSGOUT-PUBX_ID_POLYT_I2C,0x209100f6,U1,-,-,0,Output rate of the NMEAGX PUBX04 message on port I2C
CFG-MSGOUT-PUBX_ID_POLYT_SPI,0x209100fa,U1,-,-,0,Output rate of the NMEAGX PUBX04 message on port SPI
CFG-MSGOUT-PUBX_ID_POLYT_UART1,0x209100f7,U1,-,-,0,Output rate of the NMEAGX PUBX04 message on port UART1
CFG-MSGOUT-PUBX_ID_POLYT_UART2,0x209100f8,U1,-,-,0,Output rate of the NMEAGX PUBX04 message on port UART2
CFG-MSGOUT-PUBX_ID_POLYT_USB,0x209100f9,U1,-,-,0,Output rate of the NMEAGX PUBX04 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1005_I2C,0x209102bd,U1,-,-,0,Output rate of the RTCM3X TYPE1005 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1005_SPI,0x209102c1,U1,-,-,0,Output rate of the RTCM3X TYPE1005 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1005_UART1,0x209102be,U1,-,-,0,Output rate of the RTCM3X TYPE1005 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1005_UART2,0x209102bf,U1,-,-,0,Output rate of the RTCM3X TYPE1005 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1005_USB,0x209102c0,U1,-,-,0,Output rate of the RTCM3X TYPE1005 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1077_I2C,0x209102cc,U1,-,-,0,Output rate of the RTCM3X TYPE1077 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1077_SPI,0x209102d0,U1,-,-,0,Output rate of the RTCM3X TYPE1077 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1077_UART1,0x209102cd,U1,-,-,0,Output rate of the RTCM3X TYPE1077 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1077_UART2,0x209102ce,U1,-,-,0,Output rate of the RTCM3X TYPE1077 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1077_USB,0x209102cf,U1,-,-,0,Output rate of the RTCM3X TYPE1077 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1087_I2C,0x209102d1,U1,-,-,0,Output rate of the RTCM3X TYPE1087 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1087_SPI,0x209102d5,U1,-,-,0,Output rate of the RTCM3X TYPE1087 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1087_UART1,0x209102d2,U1,-,-,0,Output rate of the RTCM3X TYPE1087 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1087_UART2,0x209102d3,U1,-,-,0,Output rate of the RTCM3X TYPE1087 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1087_USB,0x209102d4,U1,-,-,0,Output rate of the RTCM3X TYPE1087 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1097_I2C,0x20910318,U1,-,-,0,Output rate of the RTCM3X TYPE1097 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1097_SPI,0x2091031c,U1,-,-,0,Output rate of the RTCM3X TYPE1097 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1097_UART1,0x20910319,U1,-,-,0,Output rate of the RTCM3X TYPE1097 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1097_UART2,0x2091031a,U1,-,-,0,Output rate of the RTCM3X TYPE1097 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1097_USB,0x2091031b,U1,-,-,0,Output rate of the RTCM3X TYPE1097 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1127_I2C,0x209102d6,U1,-,-,0,Output rate of the RTCM3X TYPE1127 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1127_SPI,0x209102da,U1,-,-,0,Output rate of the RTCM3X TYPE1127 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1127_UART1,0x209102d7,U1,-,-,0,Output rate of the RTCM3X TYPE1127 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1127_UART2,0x209102d8,U1,-,-,0,Output rate of the RTCM3X TYPE1127 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1127_USB,0x209102d9,U1,-,-,0,Output rate of the RTCM3X TYPE1127 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE1230_I2C,0x20910303,U1,-,-,0,Output rate of the RTCM3X TYPE1230 message on port I2C
CFG-MSGOUT-RTCM_3X_TYPE1230_SPI,0x20910307,U1,-,-,0,Output rate of the RTCM3X TYPE1230 message on port SPI
CFG-MSGOUT-RTCM_3X_TYPE1230_UART1,0x20910304,U1,-,-,0,Output rate of the RTCM3X TYPE1230 message on port UART1
CFG-MSGOUT-RTCM_3X_TYPE1230_UART2,0x20910305,U1,-,-,0,Output rate of the RTCM3X TYPE1230 message on port UART2
CFG-MSGOUT-RTCM_3X_TYPE1230_USB,0x20910306,U1,-,-,0,Output rate of the RTCM3X TYPE1230 message on port USB
CFG-MSGOUT-RTCM_3X_TYPE4072_1_I2C,0x20910381,U1,,-,0,"Output rate of the RTCM3X TYPE4072, subtype 1 message on port I2C"
CFG-MSGOUT-RTCM_3X_TYPE4072_1_SPI,0x20910385,U1,,-,0,"Output rate of the RTCM3X TYPE4072, subtype 1 message on port SPI"
CFG-MSGOUT-RTCM_3X_TYPE4072_1_UART1,0x20910382,U1,,-,0,"Output rate of the RTCM3X TYPE4072, subtype 1 message on port UART1"
CFG-MSGOUT-RTCM_3X_TYPE4072_1_UART2,0x20910383,U1,,-,0,"Output rate of the RTCM3X TYPE4072, subtype 1 message on port UART2"
CFG-MSGOUT-RTCM_3X_TYPE4072_1_USB,0x20910384,U1,,-,0,"Output rate of the RTCM3X TYPE4072, subtype 1 message on port USB"
CFG-MSGOUT-UBX_LOG_INFO_I2C,0x20910259,U1,-,-,0,Output rate of the UBXLOG INFO message on port I2C
CFG-MSGOUT-UBX_LOG_INFO_SPI,0x2091025d,U1,-,-,0,Output rate of the UBXLOG INFO message on port SPI
CFG-MSGOUT-UBX_LOG_INFO_UART1,0x2091025a,U1,-,-,0,Output rate of the UBXLOG INFO message on port UART1
CFG-MSGOUT-UBX_LOG_INFO_UART2,0x2091025b,U1,-,-,0,Output rate of the UBXLOG INFO message on port UART2
CFG-MSGOUT-UBX_LOG_INFO_USB,0x2091025c,U1,-,-,0,Output rate of the UBXLOG INFO message on port USB
CFG-MSGOUT-UBX_MON_COMMS_I2C,0x2091034f,U1,-,-,0,Output rate of the UBXMON COMMS message on port I2C
CFG-MSGOUT-UBX_MON_COMMS_SPI,0x20910353,U1,-,-,0,Output rate of the UBXMON COMMS message on port SPI
CFG-MSGOUT-UBX_MON_COMMS_UART1,0x20910350,U1,-,-,0,Output rate of the UBXMON COMMS message on port UART1
CFG-MSGOUT-UBX_MON_COMMS_UART2,0x20910351,U1,-,-,0,Output rate of the UBXMON COMMS message on port UART2
CFG-MSGOUT-UBX_MON_COMMS_USB,0x20910352,U1,-,-,0,Output rate of the UBXMON COMMS message on port USB
CFG-MSGOUT-UBX_MON_HW2_I2C,0x209101b9,U1,-,-,0,Output rate of the UBXMON HW2 message on port I2C
CFG-MSGOUT-UBX_MON_HW2_SPI,0x209101bd,U1,-,-,0,Output rate of the UBXMON HW2 message on port SPI
CFG-MSGOUT-UBX_MON_HW2_UART1,0x209101ba,U1,-,-,0,Output rate of the UBXMON HW2 message on port UART1
CFG-MSGOUT-UBX_MON_HW2_UART2,0x209101bb,U1,-,-,0,Output rate of the UBXMON HW2 message on port UART2
CFG-MSGOUT-UBX_MON_HW2_USB,0x209101bc,U1,-,-,0,Output rate of the UBXMON HW2 message on port USB
CFG-MSGOUT-UBX_MON_HW3_I2C,0x20910354,U1,-,-,0,Output rate of the UBXMON HW3 message on port I2C
CFG-MSGOUT-UBX_MON_HW3_SPI,0x20910358,U1,-,-,0,Output rate of the UBXMON HW3 message on port SPI
CFG-MSGOUT-UBX_MON_HW3_UART1,0x20910355,U1,-,-,0,Output rate of the UBXMON HW3 message on port UART1
CFG-MSGOUT-UBX_MON_HW3_UART2,0x20910356,U1,-,-,0,Output rate of the UBXMON HW3 message on port UART2
CFG-MSGOUT-UBX_MON_HW3_USB,0x20910357,U1,-,-,0,Output rate of the UBXMON HW3 message on port USB
CFG-MSGOUT-UBX_MON_HW_I2C,0x209101b4,U1,-,-,0,Output rate of the UBXMONHW message on port I2C
CFG-MSGOUT-UBX_MON_HW_SPI,0x209101b8,U1,-,-,0,Output rate of the UBXMONHW message on port SPI
CFG-MSGOUT-UBX_MON_HW_UART1,0x209101b5,U1,-,-,0,Output rate of the UBXMONHW message on port UART1
CFG-MSGOUT-UBX_MON_HW_UART2,0x209101b6,U1,-,-,0,Output rate of the UBXMONHW message on port UART2
CFG-MSGOUT-UBX_MON_HW_USB,0x209101b7,U1,-,-,0,Output rate of the UBXMONHW message on port USB
CFG-MSGOUT-UBX_MON_IO_I2C,0x209101a5,U1,-,-,0,Output rate of the UBXMONIO message on port I2C
CFG-MSGOUT-UBX_MON_IO_SPI,0x209101a9,U1,-,-,0,Output rate of the UBXMONIO message on port SPI
CFG-MSGOUT-UBX_MON_IO_UART1,0x209101a6,U1,-,-,0,Output rate of the UBXMONIO message on port UART1
CFG-MSGOUT-UBX_MON_IO_UART2,0x209101a7,U1,-,-,0,Output rate of the UBXMONIO message on port UART2
CFG-MSGOUT-UBX_MON_IO_USB,0x209101a8,U1,-,-,0,Output rate of the UBXMONIO message on port USB
CFG-MSGOUT-UBX_MON_MSGPP_I2C,0x20910196,U1,-,-,0,Output rate of the UBXMON MSGPP message on port I2C
CFG-MSGOUT-UBX_MON_MSGPP_SPI,0x2091019a,U1,-,-,0,Output rate of the UBXMON MSGPP message on port SPI
CFG-MSGOUT-UBX_MON_MSGPP_UART1,0x20910197,U1,-,-,0,Output rate of the UBXMON MSGPP message on port UART1
