title,DOI,version
Mouse VAB Catheter Maintenance,10.17504/protocols.io.8epv52o5dv1b/v1,1
Processing Blood Intended for Olink Assay,10.17504/protocols.io.261ger81jl47/v1,1
BARseq 2.5,10.17504/protocols.io.kqdg3ke9qv25/v1,1
Aqueous (SBiP) Delipidation of a Whole Mouse Brain,10.17504/protocols.io.n2bvj81mwgk5/v1,1
Aqueous (SBiP) Delipidation of a Whole Mouse Brain,10.17504/protocols.io.n2bvj81mwgk5/v2,2
Tetrahydrofuran and Dichloromethane Delipidation of a Whole Mouse Brain,10.17504/protocols.io.36wgqj1kxvk5/v1,1
Tetrahydrofuran and Dichloromethane Delipidation of a Whole Mouse Brain,10.17504/protocols.io.36wgqj1kxvk5/v2,2
Whole Mouse Brain Delipidation - Dichloromethane,10.17504/protocols.io.dm6gpj7n5gzp/v1,1
"Whole Mouse Brain Delipidation, Immunolabeling, and Expansion Microscopy",10.17504/protocols.io.n92ldpwjxl5b/v1,1
Immunolabeling of a Whole Mouse Brain,10.17504/protocols.io.ewov1okwylr2/v1,1
Structural MRI Using the University of Washington 14T Vertical Bore Bruker MRI,10.17504/protocols.io.3byl4j8p2lo5/v1,1
Duragel Application for Acute Electrophysiology Recordings,10.17504/protocols.io.14egn2dwqg5d/v1,1
SmartSPIM setup and alignment,10.17504/protocols.io.5jyl8jyb7g2w/v1,1
Refractive Index Matching - EasyIndex,10.17504/protocols.io.kxygx965kg8j/v1,1
Preparing a 3D Printed Implant for Acute In Vivo Electrophysiology,10.17504/protocols.io.6qpvr4jmogmk/v1,1
Imaging cleared mouse brains on SmartSPIM,10.17504/protocols.io.3byl4jo1rlo5/v1,1
Refractive Index Matching - Ethyl Cinnamate,10.17504/protocols.io.n2bvj8k4bgk5/v1,1
DAPI Staining Mouse Brain Sections,10.17504/protocols.io.3byl4jm6rlo5/v1,1
Modified Frame-projected Independent Fiber Photometry (FIP) System_Triggering system,10.17504/protocols.io.kxygx3e6wg8j/v1,1
Multi-Site Optic Fiber Implants,10.17504/protocols.io.6qpvr3dqovmk/v1,1
Immunohistochemistry (IHC) Staining Mouse Brain Sections,10.17504/protocols.io.5qpvo3b7bv4o/v1,1
Sectioning Mouse Brain with Sliding Microtome,10.17504/protocols.io.5jyl8p97rg2w/v1,1
Mounting and Coverslipping Mouse Brain Sections,10.17504/protocols.io.n92ldmpy7l5b/v1,1
Stereotactic Injections with Headframe Implant,10.17504/protocols.io.eq2lyj72elx9/v1,1
"Protocol Collection: Perfusing, Sectioning, IHC, Mounting and Coverslipping Mouse Brain Specimens",10.17504/protocols.io.kxygx3yxkg8j/v1,1
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.bd8vi9w6,1
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.besijece,2
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.beudjes6,3
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.be2djga6,4
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.bg5vjy66,5
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.8epv51bejl1b/v6,6
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.8epv51bejl1b/v7,7
Mouse Cardiac Perfusion Fixation and Brain Collection,10.17504/protocols.io.8epv51bejl1b/v8,8
